127.0.0.1 - - [10/Sep/2021:12:01:56 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:02:02 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:02:33 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:02:35 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:02:42 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:02:55 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:03:10 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:03:10 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:04:33 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:05:48 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:06:48 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:16:18 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:29:29 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:33:11 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:34:27 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:35:52 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [10/Sep/2021:12:36:05 -0500] "GET /primerJSP/primerJSP.jsp HTTP/1.1" 200 382
